id,tajik
0,"Эмомалӣ Раҳмон, раиси ҷумҳурии Тоҷикистон, бо ширкат дар маросиме ба сохтмони шаҳре ҷадид дар вилояти Суғд, дар шимоли ин кишвар, поя гузошта ва пешниҳод карда, ки ин шаҳр Сайҳун хонда шавад"
1,"Сайҳун номи арабӣ ва куҳантари Сирдарё, рӯдест, ки аз кӯҳистони Тиёншон сарчашма мегирад ва ба дарёчаи Хоразм ё Орол мерезад"
2," Ин рӯд аз васати шаҳри Хуҷанд, маркази устони Суғди Тоҷикистон, мегузарад"
3,"Ба гуфтаи манобеъи расмӣ, шаҳри мудерни Сайҳун дар минтақаи мавсум ба Мирзоравот ва дашти Сомғор дар шаҳристони Бобоҷон Ғафуруф, дар нуҳкилуметрии шимол-ғарби шаҳри Хуҷанд, бунёд хоҳад шуд"
4,"Сойти риёсати ҷумҳурии Тоҷикистон дар ин бора менивисад: ""Бояд таъкид намуд, ки оғоз бахшидан ба сохтмони шаҳри нав дар солҳои истиқлоли давлатии Тоҷикистон бори нахуст сурат мегирад ва ин бозгӯй аз баромадани кишвар ба сатҳи сифатан нави рушди иқтисодӣ мебошад"
5,"""Ин манбаъ меафзояд, ки ин ""тадбири калонмиқёс"" бо суфориши оқои Раҳмон ва дар чорчӯби ""сиёсати бунёдкорию созандагии"" давлати Тоҷикистон анҷом мешавад"
6," Тибқи нақша, қарор аст дар ин шаҳр беш аз 40 ҳазор хонавода ё беш аз 250 ҳазор нафар аз ҷамъияти шаҳри Хуҷанд ва навоҳии атрофи он сукунат гузинанд"
7,"Сойти риёсати ҷумҳурии Тоҷикистон дар бораи зарурати бунёди шаҳре ҷадид дар шимоли ин кишвар менивисад: ""Солҳои охир аҳолии шаҳру ноҳияҳои Хуҷанд, Бобоҷон Ғафуров, Ашт, Қайроққум, Чкалов ва Мастчоҳ хеле афзуда, шумораашон ба зиёда аз 700 ҳазор расидааст ва зарурати бунёди маҳаллаҳои нави аҳолинишн, аз ҷумла бо биноҳои бисёрошёнаи муъосир ба миён омадааст"
8,"""Оқои Раҳмон хишти аввали нахустин биноҳои маскуниеро, ки аз 9 то 12 табақа хоҳанд буд, дар маҳалли бунёди шаҳри ҷадид гузоштааст"
9," Ин шаҳр аз 19 қасаба ё маҳалла иборат хоҳад буд ва дар он 17 мадраса, 31 кӯдакистон, 140 фурӯшгоҳу мағоза, 40 майдонча ва толори варзишӣ, як поёна (терминол)-и мусофирбарӣ, бозор ва дигар таъсисоти иҷтимоъӣ сохта мешаванд"
10,"Ба гуфтаи манобеъи расмӣ, ин мавзеъ дорои 14 ҳазор ҳектор замини бикр аст, ки дар чорчӯби тарҳи бунёди шаҳри ҷадид обёрӣ ва дар се ҳазор ҳектор аз он маҳаллоти маскунӣ сохта мешаванд"
11, Дар марҳилаи нахуст як ҳазор ҳектор аз ин заминҳо таҳти пӯшиш қарор хоҳанд гирифт
12,Барои обёрии ин заминҳо ду пойгоҳи обрасонӣ сохта ва сохтмони як пойгоҳи дигар дар назар гирифта шудааст
13, Оқои Раҳмон ин ду пойгоҳро ифтитоҳ карда ва бори нахуст обро ба заминҳои бикр ҷорӣ кардааст
14,Қарор аст дар 1000 ҳектор аз заминҳои атрофи шаҳри Сайҳун боғҳои зардолую сияҳолу ва шафтолую бодом бунёд шаванд
15," Мақомҳои тоҷик мегӯянд, бунёди ин боғҳо, ки ба хотири сарфаҷӯии об ба шеваи қатраӣ шодоб мешаванд, барои содироти мева муҳим аст"
16,"Ба гуфтаи онҳо, бунёди зербиноҳои ин шаҳри ҷадид панҷоҳ ҳазор шуғл барои бекорон фароҳам хоҳад сохт, ки ин амр ба коҳиши муҳоҷирати корӣ ба Русия кумак мекунад"
17, Мақомот иҷрои ин тарҳро барои таъмини амнияти ғизоӣ ва сарпаноҳ барои ҳазорҳо хонавода дар шимоли Тоҷикистон низ муассир арзёбӣ мекунанд
18,"Раиси ҷумҳурии Тоҷикистон зимни ифтитоҳи ин тарҳ аз бозаргонон ва сармоядорони маҳаллӣ хостааст, ки дар бунёди шаҳри ҷадид, боғу токзорҳои атрофи он ва таъсиси корхонаю муассисот дар он ҷо саҳм гузоранд ва ""ҳам худ манфиъат бардоранд ва ҳам барои дигарон ҷойҳои корӣ муҳайё созанд"
19,"""Ин нахустин тарҳи бунёди шаҳре ҷадид дар даврони истиқлоли Тоҷикистон аст"
20," Ҳазинаи бунёди ин шаҳр эълом нашуда, вале мақомот мегӯянд, оғози ин тарҳ дар соли 2015, ки соли поёнии даҳаи байналмилалии ""Об барои ҳаёт"" аст, нумоде аз пешрафту ободонии ин кишвар маҳсуб мешавад"
21,"Барномаи даҳаи ""Об барои ҳаёт"", ки аз ҳимояти Созмони Милали Муттаҳид бархурдор аст, бо пешниҳоди давлати Тоҷикистон ба иҷро расида ва тобистони имсол ҳамоише байналмилалӣ дар мавриди натиҷагирӣ аз он бо ширкати намояндагони беш аз 100 кишвар дар шаҳри Душанбе баргузор мешавад"
22,"Эмомалӣ Раҳмон нақши зиёиёни кишварро ба унвони “қувваи пешбарандаи ҷомеа” дар бақои арзишҳои миллӣ, забони давлатӣ ва давлатдории демукротику дунявӣ муҳим хонд"
23,"Ӯ дар паёми худ унвонии зиёиёни кишвар дар робита ба ҷашни Наврӯз, онҳоро ба ташвиқи худогоҳиву худшиносӣ ва ойини мудоро даъват кардааст"
24,"Оқои Раҳмон дар суханрониаш аз ҷумла гуфт: “Ин қишри бонуфузи ҷомеа бояд минбаъд низ дар тавсеаи худогоҳиву худшиносӣ, тарғиби мафкураи миллӣ ва ғояҳои ватандӯстӣ, ҳифзи анъанаҳои фарҳангӣ ва пойдории забони давлатӣ ҳамчун бақои миллат нақши асосиро иҷро намояд ва ҳомии воқеии арзишҳои неки ин марзу бум бошад"
25,"”Раиси ҷумҳури Тоҷикистон дар ин суханронӣ гуфт, ки замони он фаро расидааст, ки олимону муҳаққиқон барои тавсеъаи мафкураи миллат пешниҳодҳои худро барои Консепсияи миллии рушди Тоҷикистон то соли 2050 ироа кунанд"
26,"Оқои Раҳмон дар ин замина таъкид кард: “Дар чунин ҳолат вазифаи зиёиён аз он иборат мегардад, ки ҳангоми манзур кардани пешниҳодҳои худ ба ин консепсия принсипи дунявиятро афзал дониста, барои рушди тафаккури милливу дунявӣ ҷаҳду талош намоянд”"
27,"Барои анҷоми ин кор раиси ҷумҳури Тоҷикистон дастур додааст, ки Фарҳангистони улуми Тоҷикистон ва Маркази пажуҳишҳои истротежик барои таҳияи як чунин кунсепсиюн як гурӯҳи кории вижаи иборат аз олимону донишмандон таъсис бидиҳанд ва лоиҳаи консепсиюнро ба давлат пешниҳод кунанд"
28,"Оқои Раҳмон дар ин бора гуфт: “Ин консепсия бояд ба бунёди ҷомеаи муосири демократӣ, ҳуқуқбунёд ва дунявӣ мусоидат намояд ва ояндаи рушди кишвари моро муайян гардонад"
29,”Президент Раҳмон ҳамзамон самтҳои аслии ин кунсепсиюнро ба зиёиён худ пешниҳод кард
30," Ӯ гуфт, ки ин санад бояд дар панҷ самти, 1) ислоҳоти маъориф, 2) тавсеъаи воқеъии илм, 3) тарғиби тарбия дар ҳамаи радифҳои ҷомеъа, 4) баланд бардоштани мақоми забони давлатӣ ва устувор намудани ғояҳои миллӣ ва 5) таблиғи зидди ифротгароӣ ва таҳкими ҳифзи озодиҳои инсон авлавият қоил бошад"
31,"Чунин ба назар мерасад, ки ҷилавгирӣ аз густариши мафкураи ифротгароёна, дар меҳвари даъвати раиси ҷумҳури кишвар аз зиёиён қарор дошт"
32,"Оқои Раҳмон ҳамчунин аз зиёиён хост то “барои рушди устувори ҷомеа ва таҳкими пояҳои давлатдории миллӣ пешниҳодҳои мушаххас ва таҳлилҳои саривақтӣ манзур намоянд, то мо барои пешгирӣ намудани ҳар гуна равандҳои носолим омода бошем ва ҳифзи манфиатҳои Тоҷикистони азизро таъмин гардонем"
33,"”Оқои Раҳмон афзуд: “Мо бояд ойини мадоро ва таҳаммулгароиро, ки дар фарҳангу мафкураи халқамон асрҳо боз идома меёбад, риоя намоем"
34,"”Раиси ҷумҳури Тоҷикистон аз зиёиён ба хусус адибони тоҷик хостааст, ки ба таҳияи мақолаҳои публисистӣ даст зананд то “мардумро аз рӯйдодҳои кишвар, дастовардҳои диёри азизамон, масъалаҳои рӯз ва хатарҳои даҳшатбори замонаи ноором огоҳ созанд"
